Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
2830680.0,6.694166666666667,3.7733333333333334,9.613333333333333
2410884.0,8.708333333333334,2.8275,14.590000000000002
2222946.0,9.125,4.829166666666667,13.42
2530964.0,11.6825,6.8175,16.548333333333336
2627858.0,11.079166666666666,7.041666666666667,15.115
2487347.0,11.6625,6.903333333333333,16.4225
2453418.0,11.461666666666666,7.290833333333334,15.631666666666666
1846271.0,15.193333333333333,10.227500000000001,20.161666666666665
2448482.0,9.618333333333334,1.8308333333333333,17.406666666666666
2332329.0,14.806666666666667,12.044166666666667,17.566666666666666
1994054.0,17.9475,14.652500000000002,21.241666666666667
1847453.0,19.6625,13.986666666666666,25.34
2174147.0,18.9175,14.2475,23.588333333333335
2094175.0,19.116666666666667,13.128333333333332,25.103333333333335
2184969.0,19.329166666666666,14.411666666666667,24.245833333333334
1872599.0,16.819166666666668,12.075833333333334,21.5625
2229384.0,19.169999999999998,13.861666666666666,24.477500000000003
2366292.0,22.924166666666665,17.357499999999998,28.493333333333336
2341694.0,21.48,15.389166666666668,27.56833333333333
2150915.0,17.7225,12.527499999999998,22.915000000000003
1964436.0,20.036666666666665,16.065833333333334,24.00583333333333
2126115.0,21.721666666666668,16.407500000000002,27.036666666666665
2201337.0,23.12,18.399166666666666,27.84166666666667
2288115.0,26.165833333333335,18.305833333333336,34.025
1928533.0,21.38083333333333,14.424999999999999,28.33666666666667
1987897.0,19.188333333333333,14.589166666666666,23.78833333333333
2006561.0,17.151666666666667,13.551666666666668,20.749166666666667
2051999.0,21.561666666666667,14.1325,28.9875
1873533.0,15.359166666666667,9.458333333333334,21.258333333333333
2188559.0,18.116666666666667,11.423333333333334,24.8075
2233566.0,17.5625,10.215,24.90833333333333
2189277.0,19.05333333333333,12.140833333333333,25.96666666666667
2205417.0,20.360833333333332,14.4375,26.285833333333333
2275017.0,13.012500000000001,6.345,19.6825
2367512.0,15.65,12.225,19.074166666666667
2393417.0,16.00916666666667,11.868333333333332,20.146666666666665
2371341.0,11.375,5.680833333333333,17.070833333333333
2210744.0,11.488333333333335,8.316666666666666,14.661666666666667
1966306.0,15.792499999999999,12.411666666666667,19.1725
2883597.0,7.415833333333333,2.1774999999999998,12.650833333333333
2647318.0,12.1975,7.065833333333334,17.325
2683593.0,7.552499999999999,2.4425,12.664166666666667
2228059.0,12.123333333333333,9.983333333333333,14.265833333333333
