Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Centre-Val de Loire,105671.0,6.5,-0.77,13.77
Bourgogne-Franche-Comté,108222.0,5.62,-2.58,13.83
Normandie,158387.0,5.51,-0.28,11.3
Hauts-de-France,261408.0,5.03,-0.86,10.92
Grand Est,227053.0,4.66,-3.11,12.44
Pays de la Loire,154852.0,8.35,2.45,14.25
Bretagne,135270.0,7.66,2.92,12.4
Nouvelle-Aquitaine,232389.0,10.83,4.59,17.07
Occitanie,202800.0,10.56,6.8,14.32
Auvergne-Rhône-Alpes,343841.0,6.53,-2.45,15.52
Provence-Alpes-Côte d'Azur,213203.0,10.49,6.8,14.18
Île-de-France,322251.0,16.91,9.18,24.64
Centre-Val de Loire,85740.0,15.81,6.02,25.6
Bourgogne-Franche-Comté,107845.0,15.38,5.83,24.93
Normandie,130993.0,15.16,8.06,22.26
Hauts-de-France,253134.0,13.69,8.34,19.04
Grand Est,228792.0,15.52,6.71,24.33
Pays de la Loire,131645.0,17.48,9.1,25.85
Bretagne,113649.0,17.64,9.9,25.38
Nouvelle-Aquitaine,203149.0,17.36,9.67,25.06
Occitanie,188224.0,14.54,7.08,22.0
Auvergne-Rhône-Alpes,331333.0,14.57,5.31,23.84
Provence-Alpes-Côte d'Azur,199192.0,14.09,6.75,21.43
Île-de-France,359755.0,9.01,2.48,15.54
Centre-Val de Loire,92676.0,8.02,0.6,15.43
Bourgogne-Franche-Comté,105850.0,7.28,4.12,10.45
Normandie,141479.0,8.21,1.52,14.9
Hauts-de-France,238076.0,7.81,1.82,13.8
Grand Est,218859.0,8.69,4.29,13.1
Pays de la Loire,128460.0,8.05,-0.2,16.3
Bretagne,107184.0,7.84,1.4,14.28
Nouvelle-Aquitaine,218730.0,8.87,2.37,15.37
Occitanie,187531.0,9.35,4.56,14.14
Auvergne-Rhône-Alpes,340605.0,6.23,3.74,8.72
Provence-Alpes-Côte d'Azur,207791.0,10.45,6.5,14.4
Île-de-France,332338.0,11.41,7.04,15.78
Centre-Val de Loire,89540.0,10.59,6.35,14.83
Bourgogne-Franche-Comté,97077.0,10.25,5.88,14.62
Normandie,135799.0,9.93,5.64,14.22
Hauts-de-France,234559.0,10.83,7.38,14.28
Grand Est,196477.0,10.62,6.78,14.48
Pays de la Loire,124538.0,10.58,6.1,15.05
Bretagne,103664.0,10.25,6.62,13.88
Nouvelle-Aquitaine,212797.0,10.45,6.01,14.89
Occitanie,182030.0,10.25,4.8,15.7
Auvergne-Rhône-Alpes,313279.0,8.54,3.56,13.51
Provence-Alpes-Côte d'Azur,197703.0,11.44,5.48,17.4
Île-de-France,357843.0,8.81,3.48,14.14
Centre-Val de Loire,88619.0,8.01,1.98,14.03
Bourgogne-Franche-Comté,91761.0,8.85,3.63,14.07
Normandie,137436.0,8.38,2.98,13.78
Hauts-de-France,234869.0,8.8,4.96,12.64
Grand Est,197721.0,9.39,4.6,14.19
Pays de la Loire,123969.0,8.88,3.0,14.75
Bretagne,103256.0,8.12,2.25,14.0
Nouvelle-Aquitaine,209653.0,10.06,5.29,14.83
Occitanie,176371.0,10.9,7.21,14.6
Auvergne-Rhône-Alpes,296278.0,9.66,6.24,13.09
Provence-Alpes-Côte d'Azur,180446.0,12.94,9.22,16.67
Île-de-France,307824.0,12.73,6.52,18.94
Centre-Val de Loire,78740.0,11.79,4.43,19.15
Bourgogne-Franche-Comté,91964.0,11.65,3.25,20.05
Normandie,130642.0,10.39,5.06,15.72
Hauts-de-France,232030.0,10.62,5.98,15.26
Grand Est,199274.0,11.21,2.64,19.79
Pays de la Loire,110280.0,13.82,8.55,19.1
Bretagne,94576.0,12.41,8.05,16.77
Nouvelle-Aquitaine,186585.0,14.0,7.31,20.69
Occitanie,156391.0,14.5,6.64,22.36
Auvergne-Rhône-Alpes,287887.0,12.39,4.59,20.19
Provence-Alpes-Côte d'Azur,186166.0,14.32,8.43,20.2
Île-de-France,266828.0,13.07,8.68,17.46
Centre-Val de Loire,88867.0,13.43,9.6,17.27
Bourgogne-Franche-Comté,82146.0,12.42,9.25,15.58
Normandie,112015.0,11.34,7.42,15.26
Hauts-de-France,209292.0,10.77,7.2,14.34
Grand Est,178190.0,11.6,8.25,14.95
Pays de la Loire,110729.0,13.58,10.0,17.15
Bretagne,89760.0,12.55,9.35,15.75
Nouvelle-Aquitaine,183932.0,14.1,11.06,17.14
Occitanie,153031.0,15.33,10.44,20.23
Auvergne-Rhône-Alpes,269396.0,11.3,8.23,14.37
Provence-Alpes-Côte d'Azur,164271.0,14.6,10.42,18.78
Île-de-France,325592.0,9.37,7.24,11.5
Centre-Val de Loire,87601.0,9.81,5.85,13.77
Bourgogne-Franche-Comté,96308.0,8.66,5.38,11.93
Normandie,132156.0,7.01,1.68,12.34
Hauts-de-France,236293.0,8.03,3.18,12.88
Grand Est,194348.0,7.51,2.84,12.18
Pays de la Loire,112062.0,10.55,4.85,16.25
Bretagne,101750.0,7.59,1.52,13.65
Nouvelle-Aquitaine,196536.0,11.31,7.26,15.36
Occitanie,178584.0,11.49,8.78,14.19
Auvergne-Rhône-Alpes,305426.0,8.61,7.35,9.86
Provence-Alpes-Côte d'Azur,201496.0,11.88,10.58,13.18
Île-de-France,362537.0,15.17,13.34,17.0
Centre-Val de Loire,90960.0,14.68,11.83,17.53
Bourgogne-Franche-Comté,105791.0,15.39,11.23,19.55
Normandie,139150.0,12.97,11.78,14.16
Hauts-de-France,266981.0,13.77,12.62,14.92
