Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Hauts-de-France,292834.0,7.37,4.42,10.32
Grand Est,249212.0,6.08,0.87,11.28
Pays de la Loire,149076.0,11.0,7.05,14.95
Bretagne,129463.0,10.07,7.72,12.42
Nouvelle-Aquitaine,257943.0,8.29,2.93,13.64
Occitanie,204323.0,9.28,3.77,14.79
Auvergne-Rhône-Alpes,358077.0,6.43,-0.11,12.96
Provence-Alpes-Côte d'Azur,211505.0,11.7,5.85,17.55
Île-de-France,395354.0,6.87,2.18,11.56
Centre-Val de Loire,116923.0,6.68,2.28,11.08
Bourgogne-Franche-Comté,115123.0,6.2,2.57,9.83
Normandie,161154.0,6.74,3.06,10.42
Hauts-de-France,281302.0,7.0,3.7,10.3
Grand Est,250510.0,5.28,1.61,8.95
Pays de la Loire,147532.0,7.62,2.75,12.5
Bretagne,133697.0,7.85,3.58,12.12
Nouvelle-Aquitaine,239677.0,8.88,5.28,12.47
Occitanie,200421.0,9.23,6.18,12.27
Auvergne-Rhône-Alpes,356393.0,5.72,2.04,9.4
Provence-Alpes-Côte d'Azur,217923.0,10.71,7.83,13.58
Île-de-France,387444.0,11.68,6.54,16.82
Centre-Val de Loire,101111.0,9.42,3.48,15.35
Bourgogne-Franche-Comté,115418.0,12.02,6.63,17.42
Normandie,158384.0,9.68,4.96,14.4
Hauts-de-France,279207.0,10.25,4.0,16.5
Grand Est,253280.0,11.34,5.97,16.71
Pays de la Loire,163762.0,9.7,4.7,14.7
Bretagne,131071.0,9.8,6.48,13.12
Nouvelle-Aquitaine,241356.0,12.83,6.19,19.47
Occitanie,190542.0,13.45,5.7,21.2
Auvergne-Rhône-Alpes,368828.0,11.47,3.75,19.18
Provence-Alpes-Côte d'Azur,207807.0,13.34,6.38,20.3
Île-de-France,350670.0,12.96,9.22,16.7
Centre-Val de Loire,95419.0,11.93,6.02,17.85
Bourgogne-Franche-Comté,115090.0,11.46,4.57,18.35
Normandie,153379.0,9.55,4.52,14.58
Hauts-de-France,275150.0,9.66,5.62,13.7
Grand Est,224293.0,11.06,6.24,15.88
Pays de la Loire,144006.0,9.88,3.9,15.85
Bretagne,122221.0,8.88,4.82,12.92
Nouvelle-Aquitaine,218175.0,13.18,7.84,18.51
Occitanie,170074.0,15.45,9.24,21.66
Auvergne-Rhône-Alpes,339621.0,12.49,4.74,20.25
Provence-Alpes-Côte d'Azur,195867.0,16.61,10.4,22.82
Île-de-France,337971.0,12.29,7.78,16.8
Centre-Val de Loire,85702.0,12.57,8.22,16.93
Bourgogne-Franche-Comté,99575.0,12.25,7.87,16.63
Normandie,143059.0,10.35,5.1,15.6
Hauts-de-France,245891.0,10.46,4.94,15.98
Grand Est,219949.0,11.99,5.38,18.61
Pays de la Loire,125046.0,13.1,8.9,17.3
Bretagne,104169.0,11.96,6.52,17.4
Nouvelle-Aquitaine,209986.0,13.31,9.04,17.59
Occitanie,209781.0,12.25,9.1,15.39
Auvergne-Rhône-Alpes,329967.0,12.17,8.95,15.39
Provence-Alpes-Côte d'Azur,218635.0,14.72,10.35,19.1
Île-de-France,398000.0,4.66,-0.84,10.16
Centre-Val de Loire,99643.0,4.52,-2.47,11.5
Bourgogne-Franche-Comté,111265.0,3.29,-3.35,9.93
Normandie,154793.0,4.78,-0.46,10.02
Hauts-de-France,273432.0,3.65,-1.44,8.74
Grand Est,243357.0,3.08,-2.44,8.59
Pays de la Loire,138617.0,7.52,2.7,12.35
Bretagne,120664.0,7.06,3.72,10.4
Nouvelle-Aquitaine,219576.0,9.69,4.18,15.2
Occitanie,192877.0,10.45,4.12,16.77
Auvergne-Rhône-Alpes,343756.0,4.55,-1.82,10.92
Provence-Alpes-Côte d'Azur,211584.0,10.73,5.72,15.75
Île-de-France,292016.0,7.94,2.56,13.32
Centre-Val de Loire,83285.0,9.25,3.2,15.3
Bourgogne-Franche-Comté,92913.0,9.33,3.25,15.42
Normandie,130636.0,7.29,2.5,12.08
Hauts-de-France,228572.0,6.34,1.32,11.36
Grand Est,194705.0,6.51,0.52,12.5
Pays de la Loire,119472.0,10.42,4.8,16.05
Bretagne,102681.0,9.71,4.1,15.32
Nouvelle-Aquitaine,182287.0,14.35,8.07,20.63
Occitanie,165952.0,15.71,8.35,23.08
Auvergne-Rhône-Alpes,280720.0,11.94,6.02,17.86
Provence-Alpes-Côte d'Azur,178599.0,14.82,8.37,21.28
Île-de-France,422444.0,6.4,1.26,11.54
Centre-Val de Loire,112064.0,5.9,-0.33,12.13
Bourgogne-Franche-Comté,131808.0,5.2,-1.1,11.5
Normandie,171250.0,5.41,-0.46,11.28
Hauts-de-France,298250.0,5.25,0.32,10.18
Grand Est,271683.0,3.87,-2.3,10.04
Pays de la Loire,166444.0,7.98,2.6,13.35
Bretagne,139442.0,6.91,0.65,13.18
Nouvelle-Aquitaine,248132.0,8.34,1.6,15.08
Occitanie,211855.0,9.32,1.59,17.05
Auvergne-Rhône-Alpes,390161.0,4.85,-2.35,12.06
Provence-Alpes-Côte d'Azur,231277.0,10.1,4.62,15.58
Île-de-France,313284.0,11.59,9.1,14.08
Centre-Val de Loire,82174.0,10.28,8.4,12.15
Bourgogne-Franche-Comté,97178.0,12.17,10.03,14.3
Normandie,126332.0,10.29,8.7,11.88
Hauts-de-France,231615.0,10.47,8.48,12.46
Grand Est,208056.0,11.81,9.74,13.89
Pays de la Loire,115814.0,11.98,9.25,14.7
Bretagne,92025.0,12.94,9.33,16.55
Nouvelle-Aquitaine,192567.0,14.54,12.5,16.58
Occitanie,165676.0,16.1,12.43,19.78
Auvergne-Rhône-Alpes,301746.0,14.19,11.17,17.21
Provence-Alpes-Côte d'Azur,188074.0,17.47,12.62,22.32
Île-de-France,298915.0,15.43,10.74,20.12
Centre-Val de Loire,71224.0,14.75,8.37,21.13
Bourgogne-Franche-Comté,86369.0,15.83,10.35,21.32
Normandie,114922.0,14.01,9.62,18.4
Hauts-de-France,220840.0,13.58,9.68,17.48
Grand Est,188721.0,15.38,9.7,21.05
Pays de la Loire,104342.0,15.75,11.0,20.5
Bretagne,82150.0,13.85,9.55,18.15
Nouvelle-Aquitaine,174426.0,16.61,10.08,23.14
Occitanie,149278.0,17.67,10.71,24.64
Auvergne-Rhône-Alpes,279479.0,14.94,7.88,21.99
Provence-Alpes-Côte d'Azur,176281.0,17.36,11.42,23.3
Île-de-France,350542.0,11.86,10.08,13.64
Centre-Val de Loire,94116.0,10.68,8.38,12.97
Bourgogne-Franche-Comté,111838.0,10.3,7.9,12.7
Normandie,132517.0,11.24,7.16,15.32
Hauts-de-France,252380.0,11.91,9.38,14.44
Grand Est,229092.0,12.11,9.54,14.69
Pays de la Loire,137381.0,12.82,7.65,18.0
Bretagne,108050.0,10.86,4.38,17.35
Nouvelle-Aquitaine,234219.0,10.75,7.19,14.31
Occitanie,212726.0,9.43,6.79,12.06
Auvergne-Rhône-Alpes,354884.0,8.62,5.58,11.65
Provence-Alpes-Côte d'Azur,205262.0,11.68,7.4,15.97
Île-de-France,356475.0,12.66,6.92,18.4
Centre-Val de Loire,94782.0,12.72,6.2,19.25
Bourgogne-Franche-Comté,116857.0,12.11,6.43,17.78
Normandie,141532.0,11.73,6.42,17.04
Hauts-de-France,259048.0,11.47,6.18,16.76
Grand Est,248903.0,10.69,4.4,16.99
Pays de la Loire,136161.0,14.48,8.3,20.65
Bretagne,109359.0,13.46,7.08,19.85
Nouvelle-Aquitaine,207909.0,14.56,7.07,22.05
Occitanie,176345.0,15.03,6.71,23.35
Auvergne-Rhône-Alpes,346028.0,11.75,4.33,19.18
Provence-Alpes-Côte d'Azur,190677.0,15.33,8.95,21.72
Île-de-France,320758.0,10.09,4.88,15.3
Centre-Val de Loire,91362.0,10.88,5.72,16.05
Bourgogne-Franche-Comté,109736.0,11.79,8.17,15.42
Normandie,137549.0,8.89,4.64,13.14
Hauts-de-France,247519.0,8.68,3.6,13.76
Grand Est,218176.0,10.18,5.57,14.79
Pays de la Loire,136003.0,11.15,5.85,16.45
Bretagne,110193.0,9.96,6.0,13.92
Nouvelle-Aquitaine,214637.0,13.22,9.49,16.96
Occitanie,169178.0,15.64,12.32,18.95
Auvergne-Rhône-Alpes,312996.0,12.12,9.45,14.79
Provence-Alpes-Côte d'Azur,173646.0,17.27,12.6,21.93
Île-de-France,319391.0,11.08,7.64,14.52
Centre-Val de Loire,86189.0,11.06,7.15,14.97
Bourgogne-Franche-Comté,102610.0,10.6,5.62,15.58
Normandie,133165.0,11.25,8.08,14.42
Hauts-de-France,243105.0,10.95,7.48,14.42
Grand Est,198549.0,10.86,5.36,16.35
Pays de la Loire,125508.0,11.18,6.45,15.9
Bretagne,112391.0,11.82,8.35,15.3
Nouvelle-Aquitaine,205097.0,12.82,8.76,16.89
Occitanie,168358.0,13.58,9.01,18.15
Auvergne-Rhône-Alpes,304356.0,11.45,6.86,16.04
Provence-Alpes-Côte d'Azur,191107.0,14.32,9.1,19.53
Île-de-France,333534.0,16.55,13.66,19.44
Centre-Val de Loire,83706.0,15.39,12.3,18.48
Bourgogne-Franche-Comté,107508.0,15.79,12.93,18.65
Normandie,128798.0,15.03,12.46,17.6
Hauts-de-France,252362.0,15.27,12.36,18.18
Grand Est,226028.0,15.69,12.96,18.43
Pays de la Loire,126912.0,15.45,12.55,18.35
Bretagne,102509.0,14.66,11.95,17.38
Nouvelle-Aquitaine,193371.0,16.56,13.39,19.72
Occitanie,165130.0,17.9,14.03,21.78
Auvergne-Rhône-Alpes,322485.0,16.27,13.07,19.47
Provence-Alpes-Côte d'Azur,186778.0,20.52,16.12,24.93
Île-de-France,335769.0,21.71,14.66,28.76
Centre-Val de Loire,90716.0,22.01,14.85,29.17
Bourgogne-Franche-Comté,107472.0,22.46,15.9,29.02
Normandie,133413.0,19.98,12.14,27.82
Hauts-de-France,250755.0,19.86,12.7,27.02
Grand Est,232530.0,20.57,12.95,28.19
Pays de la Loire,132867.0,22.62,14.95,30.3
Bretagne,102662.0,19.64,12.55,26.72
Nouvelle-Aquitaine,213022.0,24.59,17.88,31.3
Occitanie,197214.0,25.85,19.45,32.26
Auvergne-Rhône-Alpes,339622.0,23.9,18.01,29.79
Provence-Alpes-Côte d'Azur,203963.0,25.28,18.95,31.62
Île-de-France,327351.0,15.69,10.24,21.14
Centre-Val de Loire,85760.0,14.57,8.02,21.12
Bourgogne-Franche-Comté,105925.0,15.13,8.3,21.97
Normandie,128872.0,15.22,10.96,19.48
Hauts-de-France,249731.0,14.2,9.64,18.76
Grand Est,231938.0,14.89,8.36,21.41
Pays de la Loire,130862.0,15.62,10.95,20.3
Bretagne,103834.0,15.91,12.3,19.52
Nouvelle-Aquitaine,196453.0,17.18,13.04,21.31
Occitanie,175325.0,18.66,13.44,23.89
Auvergne-Rhône-Alpes,328341.0,16.01,10.42,21.6
Provence-Alpes-Côte d'Azur,190556.0,20.32,14.82,25.83
Île-de-France,325703.0,17.89,12.54,23.24
Centre-Val de Loire,82668.0,17.58,12.15,23.02
Bourgogne-Franche-Comté,105038.0,17.08,12.25,21.92
Normandie,133553.0,14.58,8.24,20.92
Hauts-de-France,249188.0,15.76,9.74,21.78
Grand Est,228676.0,16.72,10.48,22.98
Pays de la Loire,129249.0,15.2,8.65,21.75
Bretagne,107505.0,14.55,10.42,18.67
Nouvelle-Aquitaine,200534.0,16.23,12.7,19.75
Occitanie,170651.0,17.92,13.34,22.5
Auvergne-Rhône-Alpes,320862.0,17.4,13.22,21.59
Provence-Alpes-Côte d'Azur,196667.0,22.92,16.6,29.23
Île-de-France,261818.0,17.59,12.56,22.62
Centre-Val de Loire,65814.0,16.99,11.37,22.62
Bourgogne-Franche-Comté,83194.0,17.34,12.33,22.35
Normandie,102081.0,16.92,12.2,21.64
Hauts-de-France,194272.0,17.14,12.02,22.26
Grand Est,170566.0,17.09,12.75,21.42
Pays de la Loire,97185.0,17.18,13.35,21.0
Bretagne,81488.0,16.08,12.0,20.15
Nouvelle-Aquitaine,168110.0,17.46,13.26,21.65
Occitanie,143340.0,17.64,11.11,24.17
Auvergne-Rhône-Alpes,254438.0,15.66,9.63,21.69
Provence-Alpes-Côte d'Azur,164631.0,18.68,12.27,25.08
Île-de-France,317000.0,21.84,13.38,30.3
Centre-Val de Loire,80322.0,21.13,12.0,30.27
Bourgogne-Franche-Comté,101023.0,21.0,12.15,29.85
Normandie,127098.0,19.59,11.96,27.22
Hauts-de-France,233614.0,19.79,12.06,27.52
Grand Est,211421.0,19.41,10.05,28.78
Pays de la Loire,122266.0,23.25,15.25,31.25
Bretagne,102951.0,20.28,14.15,26.4
Nouvelle-Aquitaine,200414.0,24.02,17.42,30.62
Occitanie,188641.0,25.29,17.69,32.89
Auvergne-Rhône-Alpes,313193.0,21.89,13.69,30.09
Provence-Alpes-Côte d'Azur,200441.0,25.05,19.4,30.7
Île-de-France,275092.0,15.76,10.78,20.74
Centre-Val de Loire,70888.0,15.22,9.67,20.78
Bourgogne-Franche-Comté,85816.0,14.5,10.35,18.65
Normandie,113752.0,14.62,10.04,19.2
Hauts-de-France,216155.0,15.16,10.92,19.4
Grand Est,187791.0,14.59,10.59,18.59
Pays de la Loire,104242.0,15.72,9.45,22.0
Bretagne,82881.0,14.7,9.6,19.8
Nouvelle-Aquitaine,187163.0,16.24,10.97,21.52
Occitanie,153682.0,17.01,12.06,21.95
Auvergne-Rhône-Alpes,280480.0,13.77,9.23,18.32
Provence-Alpes-Côte d'Azur,190132.0,19.53,14.47,24.58
Île-de-France,271714.0,18.5,13.58,23.42
Centre-Val de Loire,75623.0,18.78,12.77,24.78
Bourgogne-Franche-Comté,89522.0,20.62,16.25,24.98
Normandie,113622.0,15.8,10.4,21.2
Hauts-de-France,213541.0,16.37,11.28,21.46
Grand Est,189979.0,19.24,14.24,24.24
Pays de la Loire,106424.0,19.02,13.4,24.65
Bretagne,84155.0,16.6,11.75,21.45
Nouvelle-Aquitaine,183538.0,20.52,16.03,25.0
Occitanie,167416.0,22.66,17.88,27.44
Auvergne-Rhône-Alpes,290721.0,21.22,16.16,26.28
Provence-Alpes-Côte d'Azur,204999.0,25.13,20.0,30.27
Île-de-France,288703.0,23.47,17.12,29.82
Centre-Val de Loire,75331.0,22.48,14.27,30.7
Bourgogne-Franche-Comté,86884.0,22.53,14.23,30.83
Normandie,111061.0,19.79,12.84,26.74
Hauts-de-France,212721.0,20.74,13.46,28.02
Grand Est,197473.0,22.34,14.18,30.5
Pays de la Loire,108076.0,23.52,16.85,30.2
Bretagne,83831.0,19.25,12.82,25.68
Nouvelle-Aquitaine,195602.0,24.49,18.36,30.62
Occitanie,177192.0,25.49,18.7,32.27
Auvergne-Rhône-Alpes,292102.0,23.02,15.6,30.44
Provence-Alpes-Côte d'Azur,198107.0,25.74,19.77,31.72
Île-de-France,261033.0,17.49,12.74,22.24
Centre-Val de Loire,71868.0,19.11,13.53,24.68
Bourgogne-Franche-Comté,79899.0,18.81,13.03,24.58
Normandie,106220.0,17.2,12.66,21.74
Hauts-de-France,203719.0,16.63,11.98,21.28
Grand Est,176825.0,17.46,12.46,22.45
Pays de la Loire,99372.0,21.55,16.5,26.6
Bretagne,78885.0,18.53,12.28,24.78
Nouvelle-Aquitaine,184221.0,22.6,17.16,28.03
Occitanie,171267.0,24.36,18.35,30.37
Auvergne-Rhône-Alpes,266236.0,19.45,12.15,26.75
Provence-Alpes-Côte d'Azur,197409.0,24.44,18.67,30.22
Île-de-France,264040.0,18.88,14.8,22.96
Centre-Val de Loire,75227.0,19.27,12.52,26.02
Bourgogne-Franche-Comté,90276.0,20.31,12.63,27.98
Normandie,106824.0,16.85,12.48,21.22
Hauts-de-France,206721.0,16.82,13.24,20.4
Grand Est,180087.0,18.96,11.68,26.25
Pays de la Loire,104987.0,18.45,12.35,24.55
Bretagne,86134.0,16.96,13.52,20.4
Nouvelle-Aquitaine,184127.0,20.21,14.58,25.83
Occitanie,169324.0,22.11,16.06,28.15
Auvergne-Rhône-Alpes,266310.0,19.45,11.54,27.36
Provence-Alpes-Côte d'Azur,188712.0,22.39,15.83,28.95
Île-de-France,269922.0,18.15,15.08,21.22
Centre-Val de Loire,67660.0,18.98,15.05,22.9
Bourgogne-Franche-Comté,88542.0,15.38,13.07,17.7
Normandie,108516.0,17.83,14.14,21.52
Hauts-de-France,211705.0,16.57,14.82,18.32
Grand Est,184847.0,15.59,13.58,17.6
Pays de la Loire,103241.0,19.75,14.7,24.8
Bretagne,91060.0,18.21,14.8,21.62
Nouvelle-Aquitaine,179095.0,18.08,15.04,21.12
Occitanie,157387.0,18.71,14.62,22.81
Auvergne-Rhône-Alpes,277993.0,14.45,11.65,17.26
Provence-Alpes-Côte d'Azur,193688.0,19.79,14.25,25.33
Île-de-France,238227.0,20.63,13.94,27.32
Centre-Val de Loire,64634.0,22.66,14.07,31.25
Bourgogne-Franche-Comté,76245.0,22.32,13.55,31.1
Normandie,105399.0,18.46,12.28,24.64
Hauts-de-France,185955.0,18.07,12.42,23.72
Grand Est,161979.0,21.28,13.36,29.2
Pays de la Loire,94527.0,23.67,15.75,31.6
Bretagne,75913.0,19.7,13.4,26.0
Nouvelle-Aquitaine,181571.0,25.36,16.72,33.99
Occitanie,161376.0,23.4,15.27,31.52
Auvergne-Rhône-Alpes,249917.0,23.42,14.53,32.31
Provence-Alpes-Côte d'Azur,182758.0,23.58,16.27,30.88
Île-de-France,262405.0,19.05,10.64,27.46
Centre-Val de Loire,71343.0,20.38,11.27,29.5
Bourgogne-Franche-Comté,77630.0,21.23,12.68,29.78
Normandie,112040.0,17.8,10.06,25.54
Hauts-de-France,202932.0,18.31,11.84,24.78
Grand Est,175169.0,19.71,11.26,28.16
Pays de la Loire,106417.0,21.42,13.7,29.15
Bretagne,91216.0,17.41,10.15,24.68
Nouvelle-Aquitaine,190062.0,24.16,15.09,33.22
Occitanie,166693.0,23.59,16.04,31.14
Auvergne-Rhône-Alpes,266820.0,22.03,12.95,31.12
Provence-Alpes-Côte d'Azur,193928.0,22.75,16.37,29.13
Île-de-France,274406.0,20.44,15.44,25.44
Centre-Val de Loire,78745.0,20.08,14.35,25.82
Bourgogne-Franche-Comté,85316.0,21.04,16.48,25.6
Normandie,115616.0,18.71,14.18,23.24
Hauts-de-France,210157.0,19.05,15.5,22.6
Grand Est,190364.0,19.28,13.79,24.76
Pays de la Loire,113642.0,19.02,13.45,24.6
Bretagne,97927.0,18.64,14.08,23.2
Nouvelle-Aquitaine,197032.0,21.44,17.37,25.51
Occitanie,171596.0,22.0,17.69,26.32
Auvergne-Rhône-Alpes,276652.0,20.68,16.59,24.77
Provence-Alpes-Côte d'Azur,190644.0,23.23,18.28,28.18
Île-de-France,266920.0,18.96,12.66,25.26
Centre-Val de Loire,72989.0,18.22,10.32,26.12
Bourgogne-Franche-Comté,85128.0,17.18,9.07,25.28
Normandie,113488.0,16.11,10.48,21.74
Hauts-de-France,207628.0,16.05,11.04,21.06
Grand Est,187222.0,17.49,10.37,24.6
Pays de la Loire,112796.0,16.98,11.75,22.2
Bretagne,98699.0,16.9,14.08,19.73
Nouvelle-Aquitaine,191269.0,18.26,11.22,25.3
Occitanie,168529.0,20.28,12.43,28.14
Auvergne-Rhône-Alpes,263532.0,17.41,9.95,24.86
Provence-Alpes-Côte d'Azur,200212.0,23.03,16.87,29.2
Île-de-France,278030.0,22.93,18.68,27.18
Centre-Val de Loire,75475.0,21.08,17.83,24.32
Bourgogne-Franche-Comté,84879.0,22.66,19.05,26.27
Normandie,111811.0,20.27,17.64,22.9
Hauts-de-France,207766.0,21.16,18.92,23.4
Grand Est,188863.0,22.59,18.58,26.6
Pays de la Loire,113104.0,21.7,17.7,25.7
Bretagne,98371.0,20.35,16.2,24.5
Nouvelle-Aquitaine,193738.0,21.89,16.92,26.86
Occitanie,179310.0,23.97,17.98,29.96
Auvergne-Rhône-Alpes,271501.0,22.45,16.71,28.2
Provence-Alpes-Côte d'Azur,211773.0,25.53,19.28,31.78
Île-de-France,243620.0,22.34,14.92,29.76
Centre-Val de Loire,74573.0,23.48,15.32,31.65
Bourgogne-Franche-Comté,81453.0,25.48,18.28,32.67
Normandie,105144.0,19.48,11.6,27.36
Hauts-de-France,195414.0,18.52,11.82,25.22
Grand Est,178491.0,23.07,15.76,30.38
Pays de la Loire,97536.0,22.45,13.9,31.0
Bretagne,88354.0,18.86,11.35,26.38
Nouvelle-Aquitaine,195409.0,25.02,18.04,31.99
Occitanie,186411.0,26.93,19.51,34.35
Auvergne-Rhône-Alpes,267008.0,25.92,17.93,33.91
Provence-Alpes-Côte d'Azur,213609.0,28.23,20.97,35.5
Île-de-France,344555.0,22.52,17.02,28.02
Centre-Val de Loire,86171.0,18.32,15.3,21.35
Bourgogne-Franche-Comté,109704.0,21.87,15.78,27.95
Normandie,132624.0,19.82,14.96,24.68
Hauts-de-France,255996.0,22.97,18.2,27.74
Grand Est,234380.0,22.74,15.2,30.27
Pays de la Loire,127717.0,19.4,15.7,23.1
Bretagne,103837.0,19.08,15.68,22.48
Nouvelle-Aquitaine,201262.0,17.24,14.48,20.01
Occitanie,177619.0,16.88,15.14,18.63
Auvergne-Rhône-Alpes,328599.0,20.0,16.65,23.34
Provence-Alpes-Côte d'Azur,205861.0,22.31,18.62,26.0
Île-de-France,343369.0,13.87,10.82,16.92
Centre-Val de Loire,87297.0,14.52,11.23,17.8
Bourgogne-Franche-Comté,108715.0,13.83,10.8,16.87
Normandie,137242.0,13.0,9.36,16.64
Hauts-de-France,268858.0,13.01,10.22,15.8
Grand Est,249394.0,13.02,10.11,15.94
Pays de la Loire,134065.0,15.02,11.55,18.5
Bretagne,109955.0,13.64,9.22,18.05
Nouvelle-Aquitaine,206609.0,15.99,12.47,19.51
Occitanie,177560.0,16.96,13.06,20.86
Auvergne-Rhône-Alpes,334681.0,14.94,11.06,18.81
Provence-Alpes-Côte d'Azur,194272.0,20.4,14.53,26.27
Île-de-France,315674.0,16.6,11.5,21.7
Centre-Val de Loire,85046.0,17.07,11.25,22.88
Bourgogne-Franche-Comté,105230.0,19.53,15.48,23.57
Normandie,132647.0,13.22,7.24,19.2
Hauts-de-France,249871.0,14.1,8.82,19.38
Grand Est,228724.0,17.93,14.24,21.62
Pays de la Loire,127783.0,17.15,11.85,22.45
Bretagne,103762.0,13.06,6.62,19.5
Nouvelle-Aquitaine,203053.0,19.77,15.21,24.33
Occitanie,181763.0,21.21,16.63,25.8
Auvergne-Rhône-Alpes,326300.0,20.32,16.42,24.22
Provence-Alpes-Côte d'Azur,196259.0,23.3,18.17,28.43
Île-de-France,284080.0,19.59,13.22,25.96
Centre-Val de Loire,70954.0,21.34,14.35,28.33
Bourgogne-Franche-Comté,89824.0,20.69,13.13,28.25
Normandie,113358.0,18.34,12.62,24.06
Hauts-de-France,221462.0,17.41,11.2,23.62
Grand Est,192793.0,18.7,11.48,25.92
Pays de la Loire,107219.0,22.22,15.9,28.55
Bretagne,88367.0,19.92,15.3,24.55
Nouvelle-Aquitaine,182138.0,23.47,16.93,30.0
Occitanie,164855.0,22.31,15.6,29.02
Auvergne-Rhône-Alpes,279673.0,20.69,12.17,29.2
Provence-Alpes-Côte d'Azur,183950.0,22.64,15.75,29.53
Île-de-France,314390.0,23.36,12.92,33.8
Centre-Val de Loire,82863.0,23.55,11.85,35.25
Bourgogne-Franche-Comté,99256.0,23.57,13.13,34.0
Normandie,123378.0,21.12,10.92,31.32
Hauts-de-France,234017.0,21.62,11.86,31.38
Grand Est,208446.0,21.58,10.7,32.45
Pays de la Loire,125864.0,24.83,15.55,34.1
Bretagne,102815.0,21.26,11.72,30.8
Nouvelle-Aquitaine,203595.0,26.34,17.6,35.07
Occitanie,181088.0,24.99,17.8,32.18
Auvergne-Rhône-Alpes,308560.0,23.6,14.48,32.73
Provence-Alpes-Côte d'Azur,197208.0,24.56,17.87,31.25
Île-de-France,319053.0,21.22,16.86,25.58
Centre-Val de Loire,83360.0,22.35,17.63,27.07
Bourgogne-Franche-Comté,103781.0,20.41,14.7,26.12
Normandie,126609.0,19.91,16.42,23.4
Hauts-de-France,239451.0,19.06,15.0,23.12
Grand Est,224988.0,18.59,12.7,24.48
Pays de la Loire,128265.0,21.5,18.45,24.55
Bretagne,108596.0,20.19,17.1,23.28
Nouvelle-Aquitaine,207950.0,23.06,18.76,27.36
Occitanie,180885.0,23.86,19.79,27.94
Auvergne-Rhône-Alpes,318977.0,22.44,17.84,27.04
Provence-Alpes-Côte d'Azur,199001.0,22.28,17.9,26.65
Île-de-France,421764.0,10.77,8.86,12.68
Centre-Val de Loire,106765.0,10.66,8.85,12.47
Bourgogne-Franche-Comté,128331.0,11.14,8.57,13.72
Normandie,161130.0,10.36,7.84,12.88
Hauts-de-France,294588.0,10.68,8.42,12.94
Grand Est,273551.0,9.75,6.81,12.69
Pays de la Loire,159893.0,11.32,9.3,13.35
Bretagne,125031.0,9.69,5.2,14.18
Nouvelle-Aquitaine,239326.0,13.14,11.41,14.88
Occitanie,197919.0,13.95,12.31,15.6
Auvergne-Rhône-Alpes,390738.0,11.77,9.44,14.1
Provence-Alpes-Côte d'Azur,223230.0,14.33,11.98,16.68
Île-de-France,312867.0,16.66,10.46,22.86
Centre-Val de Loire,77550.0,16.08,8.03,24.13
Bourgogne-Franche-Comté,96730.0,14.68,6.28,23.07
Normandie,124799.0,15.61,8.98,22.24
Hauts-de-France,238825.0,15.99,10.84,21.14
Grand Est,220889.0,14.84,7.36,22.31
Pays de la Loire,112706.0,17.33,9.5,25.15
Bretagne,92319.0,15.94,10.25,21.62
Nouvelle-Aquitaine,190626.0,18.95,11.94,25.96
Occitanie,160083.0,17.74,11.73,23.75
Auvergne-Rhône-Alpes,293080.0,16.05,7.06,25.04
Provence-Alpes-Côte d'Azur,178693.0,17.98,12.85,23.1
Île-de-France,289522.0,20.47,14.92,26.02
Centre-Val de Loire,68345.0,21.01,14.2,27.82
Bourgogne-Franche-Comté,84697.0,18.58,12.0,25.17
Normandie,114989.0,17.96,14.14,21.78
Hauts-de-France,217436.0,19.1,14.5,23.7
Grand Est,195260.0,18.18,11.04,25.33
Pays de la Loire,100021.0,20.8,16.65,24.95
Bretagne,85224.0,13.7,12.48,14.92
Nouvelle-Aquitaine,171306.0,20.38,15.54,25.21
Occitanie,153511.0,19.81,15.72,23.91
Auvergne-Rhône-Alpes,275623.0,18.39,14.2,22.58
Provence-Alpes-Côte d'Azur,160323.0,18.41,14.3,22.52
Île-de-France,336934.0,18.97,13.64,24.3
Centre-Val de Loire,84686.0,18.82,12.88,24.75
Bourgogne-Franche-Comté,105223.0,19.38,12.87,25.9
Normandie,133454.0,16.35,11.88,20.82
Hauts-de-France,253583.0,16.99,12.32,21.66
Grand Est,229973.0,18.23,11.84,24.62
Pays de la Loire,131861.0,17.55,13.75,21.35
Bretagne,112261.0,14.11,12.0,16.23
Nouvelle-Aquitaine,196557.0,19.44,14.79,24.1
Occitanie,172043.0,20.2,16.37,24.03
Auvergne-Rhône-Alpes,307193.0,19.15,14.55,23.75
Provence-Alpes-Côte d'Azur,186561.0,19.6,13.95,25.25
Île-de-France,399733.0,10.28,6.34,14.22
Centre-Val de Loire,112117.0,9.3,5.92,12.68
Bourgogne-Franche-Comté,126570.0,9.79,6.4,13.18
Normandie,159882.0,8.54,3.1,13.98
Hauts-de-France,280851.0,9.6,6.16,13.04
Grand Est,263799.0,9.12,4.82,13.41
Pays de la Loire,162413.0,9.38,4.15,14.6
Bretagne,134902.0,9.64,4.8,14.47
Nouvelle-Aquitaine,251318.0,10.43,7.61,13.25
Occitanie,209040.0,10.66,7.56,13.75
Auvergne-Rhône-Alpes,376895.0,8.8,5.63,11.98
Provence-Alpes-Côte d'Azur,210529.0,11.69,6.33,17.05
Île-de-France,378282.0,10.57,4.08,17.06
