Date,Région,Consommation (MW),TMoy (°C)
01/04/2018,Bretagne,138681.0,5.74
01/04/2018,Nouvelle-Aquitaine,246301.0,9.06
01/04/2018,Occitanie,212551.0,9.42
01/04/2018,Auvergne-Rhône-Alpes,366876.0,8.02
01/04/2018,Provence-Alpes-Côte d'Azur,222021.0,10.5
01/04/2019,Île-de-France,366466.0,13.8
01/04/2019,Centre-Val de Loire,96785.0,13.0
01/04/2019,Bourgogne-Franche-Comté,114334.0,12.95
01/04/2019,Normandie,151030.0,11.15
01/04/2019,Hauts-de-France,273545.0,11.13
01/04/2019,Grand Est,242789.0,11.8
01/04/2019,Pays de la Loire,144295.0,14.48
01/04/2019,Bretagne,118252.0,12.02
01/04/2019,Nouvelle-Aquitaine,221214.0,13.07
01/04/2019,Occitanie,206546.0,12.85
01/04/2019,Auvergne-Rhône-Alpes,351334.0,11.85
01/04/2019,Provence-Alpes-Côte d'Azur,217616.0,12.72
01/04/2020,Île-de-France,371322.0,6.75
01/04/2020,Centre-Val de Loire,105671.0,6.5
01/04/2020,Bourgogne-Franche-Comté,108222.0,5.62
01/04/2020,Normandie,158387.0,5.51
01/04/2020,Hauts-de-France,261408.0,5.03
01/04/2020,Grand Est,227053.0,4.66
01/04/2020,Pays de la Loire,154852.0,8.35
01/04/2020,Bretagne,135270.0,7.66
01/04/2020,Nouvelle-Aquitaine,232389.0,10.83
01/04/2020,Occitanie,202800.0,10.56
01/04/2020,Auvergne-Rhône-Alpes,343841.0,6.53
01/04/2020,Provence-Alpes-Côte d'Azur,213203.0,10.49
01/04/2021,Île-de-France,322251.0,16.91
01/04/2021,Centre-Val de Loire,85740.0,15.81
01/04/2021,Bourgogne-Franche-Comté,107845.0,15.38
01/04/2021,Normandie,130993.0,15.16
01/04/2021,Hauts-de-France,253134.0,13.69
01/04/2021,Grand Est,228792.0,15.52
01/04/2021,Pays de la Loire,131645.0,17.48
01/04/2021,Bretagne,113649.0,17.64
01/04/2021,Nouvelle-Aquitaine,203149.0,17.36
01/04/2021,Occitanie,188224.0,14.54
01/04/2021,Auvergne-Rhône-Alpes,331333.0,14.57
01/04/2021,Provence-Alpes-Côte d'Azur,199192.0,14.09
01/05/2016,Île-de-France,359755.0,9.01
01/05/2016,Centre-Val de Loire,92676.0,8.02
01/05/2016,Bourgogne-Franche-Comté,105850.0,7.28
01/05/2016,Normandie,141479.0,8.21
01/05/2016,Hauts-de-France,238076.0,7.81
01/05/2016,Grand Est,218859.0,8.69
01/05/2016,Pays de la Loire,128460.0,8.05
01/05/2016,Bretagne,107184.0,7.84
01/05/2016,Nouvelle-Aquitaine,218730.0,8.87
01/05/2016,Occitanie,187531.0,9.35
01/05/2016,Auvergne-Rhône-Alpes,340605.0,6.23
01/05/2016,Provence-Alpes-Côte d'Azur,207791.0,10.45
01/05/2017,Île-de-France,332338.0,11.41
01/05/2017,Centre-Val de Loire,89540.0,10.59
01/05/2017,Bourgogne-Franche-Comté,97077.0,10.25
01/05/2017,Normandie,135799.0,9.93
01/05/2017,Hauts-de-France,234559.0,10.83
01/05/2017,Grand Est,196477.0,10.62
01/05/2017,Pays de la Loire,124538.0,10.58
01/05/2017,Bretagne,103664.0,10.25
01/05/2017,Nouvelle-Aquitaine,212797.0,10.45
01/05/2017,Occitanie,182030.0,10.25
01/05/2017,Auvergne-Rhône-Alpes,313279.0,8.54
01/05/2017,Provence-Alpes-Côte d'Azur,197703.0,11.44
01/05/2018,Île-de-France,357843.0,8.81
01/05/2018,Centre-Val de Loire,88619.0,8.01
01/05/2018,Bourgogne-Franche-Comté,91761.0,8.85
01/05/2018,Normandie,137436.0,8.38
01/05/2018,Hauts-de-France,234869.0,8.8
01/05/2018,Grand Est,197721.0,9.39
01/05/2018,Pays de la Loire,123969.0,8.88
01/05/2018,Bretagne,103256.0,8.12
01/05/2018,Nouvelle-Aquitaine,209653.0,10.06
01/05/2018,Occitanie,176371.0,10.9
01/05/2018,Auvergne-Rhône-Alpes,296278.0,9.66
01/05/2018,Provence-Alpes-Côte d'Azur,180446.0,12.94
01/05/2019,Île-de-France,307824.0,12.73
01/05/2019,Centre-Val de Loire,78740.0,11.79
01/05/2019,Bourgogne-Franche-Comté,91964.0,11.65
01/05/2019,Normandie,130642.0,10.39
01/05/2019,Hauts-de-France,232030.0,10.62
01/05/2019,Grand Est,199274.0,11.21
01/05/2019,Pays de la Loire,110280.0,13.82
01/05/2019,Bretagne,94576.0,12.41
01/05/2019,Nouvelle-Aquitaine,186585.0,14.0
01/05/2019,Occitanie,156391.0,14.5
01/05/2019,Auvergne-Rhône-Alpes,287887.0,12.39
01/05/2019,Provence-Alpes-Côte d'Azur,186166.0,14.32
01/05/2020,Île-de-France,266828.0,13.07
01/05/2020,Centre-Val de Loire,88867.0,13.43
01/05/2020,Bourgogne-Franche-Comté,82146.0,12.42
01/05/2020,Normandie,112015.0,11.34
01/05/2020,Hauts-de-France,209292.0,10.77
01/05/2020,Grand Est,178190.0,11.6
01/05/2020,Pays de la Loire,110729.0,13.58
01/05/2020,Bretagne,89760.0,12.55
01/05/2020,Nouvelle-Aquitaine,183932.0,14.1
01/05/2020,Occitanie,153031.0,15.33
01/05/2020,Auvergne-Rhône-Alpes,269396.0,11.3
01/05/2020,Provence-Alpes-Côte d'Azur,164271.0,14.6
01/05/2021,Île-de-France,325592.0,9.37
01/05/2021,Centre-Val de Loire,87601.0,9.81
01/05/2021,Bourgogne-Franche-Comté,96308.0,8.66
01/05/2021,Normandie,132156.0,7.01
01/05/2021,Hauts-de-France,236293.0,8.03
01/05/2021,Grand Est,194348.0,7.51
01/05/2021,Pays de la Loire,112062.0,10.55
01/05/2021,Bretagne,101750.0,7.59
01/05/2021,Nouvelle-Aquitaine,196536.0,11.31
01/05/2021,Occitanie,178584.0,11.49
01/05/2021,Auvergne-Rhône-Alpes,305426.0,8.61
01/05/2021,Provence-Alpes-Côte d'Azur,201496.0,11.88
01/06/2016,Île-de-France,362537.0,15.17
01/06/2016,Centre-Val de Loire,90960.0,14.68
01/06/2016,Bourgogne-Franche-Comté,105791.0,15.39
01/06/2016,Normandie,139150.0,12.97
01/06/2016,Hauts-de-France,266981.0,13.77
01/06/2016,Grand Est,230664.0,15.92
01/06/2016,Pays de la Loire,131040.0,15.5
01/06/2016,Bretagne,105438.0,14.4
01/06/2016,Nouvelle-Aquitaine,209450.0,15.14
01/06/2016,Occitanie,175029.0,14.47
01/06/2016,Auvergne-Rhône-Alpes,334020.0,14.02
01/06/2016,Provence-Alpes-Côte d'Azur,182102.0,16.74
01/06/2017,Île-de-France,335093.0,20.71
01/06/2017,Centre-Val de Loire,89112.0,20.32
01/06/2017,Bourgogne-Franche-Comté,107149.0,20.79
01/06/2017,Normandie,132513.0,18.41
01/06/2017,Hauts-de-France,256021.0,18.37
01/06/2017,Grand Est,235774.0,19.84
01/06/2017,Pays de la Loire,132198.0,21.58
01/06/2017,Bretagne,103455.0,17.95
01/06/2017,Nouvelle-Aquitaine,207412.0,21.0
01/06/2017,Occitanie,174001.0,20.88
01/06/2017,Auvergne-Rhône-Alpes,324343.0,19.58
01/06/2017,Provence-Alpes-Côte d'Azur,199448.0,20.71
01/06/2018,Île-de-France,329978.0,18.45
01/06/2018,Centre-Val de Loire,83820.0,17.82
01/06/2018,Bourgogne-Franche-Comté,106486.0,17.79
01/06/2018,Normandie,125372.0,16.54
01/06/2018,Hauts-de-France,249536.0,16.48
01/06/2018,Grand Est,232843.0,18.57
01/06/2018,Pays de la Loire,129662.0,18.75
01/06/2018,Bretagne,102158.0,17.27
01/06/2018,Nouvelle-Aquitaine,198633.0,18.99
01/06/2018,Occitanie,171071.0,19.73
01/06/2018,Auvergne-Rhône-Alpes,325357.0,17.9
01/06/2018,Provence-Alpes-Côte d'Azur,187377.0,19.48
01/06/2019,Île-de-France,289418.0,20.58
01/06/2019,Centre-Val de Loire,70988.0,20.15
01/06/2019,Bourgogne-Franche-Comté,87433.0,19.96
01/06/2019,Normandie,115013.0,19.03
01/06/2019,Hauts-de-France,220717.0,18.92
01/06/2019,Grand Est,196901.0,19.11
01/06/2019,Pays de la Loire,103381.0,21.48
01/06/2019,Bretagne,88862.0,18.92
01/06/2019,Nouvelle-Aquitaine,184889.0,22.14
01/06/2019,Occitanie,150704.0,20.22
01/06/2019,Auvergne-Rhône-Alpes,270670.0,19.65
01/06/2019,Provence-Alpes-Côte d'Azur,176868.0,18.8
01/06/2020,Île-de-France,266807.0,19.46
01/06/2020,Centre-Val de Loire,71118.0,18.7
01/06/2020,Bourgogne-Franche-Comté,76687.0,18.06
01/06/2020,Normandie,101417.0,17.07
01/06/2020,Hauts-de-France,196513.0,18.4
01/06/2020,Grand Est,172129.0,17.36
01/06/2020,Pays de la Loire,98886.0,20.92
01/06/2020,Bretagne,80044.0,18.14
01/06/2020,Nouvelle-Aquitaine,171235.0,21.19
01/06/2020,Occitanie,145340.0,20.01
01/06/2020,Auvergne-Rhône-Alpes,251240.0,18.41
01/06/2020,Provence-Alpes-Côte d'Azur,163479.0,18.63
01/06/2021,Île-de-France,312123.0,19.39
01/06/2021,Centre-Val de Loire,80795.0,19.19
01/06/2021,Bourgogne-Franche-Comté,104706.0,18.47
01/06/2021,Normandie,125839.0,17.95
01/06/2021,Hauts-de-France,235598.0,17.99
01/06/2021,Grand Est,218081.0,16.62
01/06/2021,Pays de la Loire,124267.0,21.6
01/06/2021,Bretagne,103956.0,19.35
01/06/2021,Nouvelle-Aquitaine,186076.0,21.68
01/06/2021,Occitanie,164041.0,19.44
01/06/2021,Auvergne-Rhône-Alpes,315383.0,18.66
01/06/2021,Provence-Alpes-Côte d'Azur,187841.0,18.12
01/07/2016,Île-de-France,328501.0,19.23
01/07/2016,Centre-Val de Loire,80894.0,19.02
01/07/2016,Bourgogne-Franche-Comté,105663.0,20.89
01/07/2016,Normandie,136781.0,17.34
01/07/2016,Hauts-de-France,250730.0,17.32
01/07/2016,Grand Est,228226.0,20.24
01/07/2016,Pays de la Loire,127976.0,19.33
